Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8,,
1224820,1BFE2239,TRUE,Rx,0,8,0,1,1,0,0,0,0,0,,
1225160,1BFE223A,TRUE,Rx,0,8,4,1,0,0,5B,0,0,0,,
1225460,1BFE223B,TRUE,Rx,0,8,0A,0,0,0,0,0,0,0,,
1225800,1BFE223C,TRUE,Rx,0,8,22,0,0,0,0,0,0,0,,
1226150,1BFE223D,TRUE,Rx,0,8,0,0,0,0,0,0,0,5C,,
1226440,1BFE2248,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
1299870,0000038B,FALSE,Rx,0,8,0,0,0,0,0,0,0,0,,
1309900,564,FALSE,Rx,0,8,D1,3,0,0,F8,17,3D,0,,
1319790,1BFE221A,TRUE,Rx,0,8,0,A5,0,0,7E,0,0,0,,
1320090,1BFE2205,TRUE,Rx,0,8,45,45,0,0,0,41,9,30,,
1320390,1BFE2206,TRUE,Rx,0,8,46,0,0,86,0,0,2,4,,
1320690,1BFE2209,TRUE,Rx,0,8,0,0,1,0,10,30,0,0,,
1320990,1BFE2215,TRUE,Rx,0,8,60,97,9E,80,80,80,AA,9A,,
1321290,1BFE2216,TRUE,Rx,0,8,0,0,0,0,0,0,C0,FA,,
